id,title,url,summary,publisher,resource_type,level,rating,featured,status,intents,topics,tags,verified_on,exclude,duplicate_url
troubleshoot-precedence,Resolve the wrong skill or a naming conflict,https://code.claude.com/docs/en/skills#where-skills-live,"For Claude Code specifically, inspect duplicate names and scope precedence: enterprise overrides personal, personal overrides project, and plugin skills are namespaced.",Anthropic,Guide,advanced,4.7,false,published,troubleshoot|manage,management-optimization,"Claude-Code|precedence",2026-07-28,false,false
anthropic-skill-authoring,Agent Skills authoring best practices,https://docs.claude.com/en/docs/agents-and-tools/agent-skills/best-practices,"Practical guidance for concise instructions, effective descriptions, progressive disclosure, deterministic scripts, dependencies, and runtime compatibility.",Anthropic,Documentation,practical,4.8,false,published,create|execute|troubleshoot,prompt-engineering|code-automation,"authoring|runtime",2026-07-28,false,false
troubleshoot-runtime,Debug a skill script or runtime failure,https://docs.claude.com/en/docs/agents-and-tools/agent-skills/best-practices#runtime-environment,"Confirm the target environment, installed dependencies, referenced files, tool and network availability, and execution permissions. Treat operating-system and host differences as explicit compatibility requirements.",Anthropic,Guide,advanced,4.7,false,published,troubleshoot|execute,code-automation,"dependencies|compatibility",2026-07-28,false,false
agent-skills-course,Introduction to Agent Skills,https://anthropic.skilljar.com/introduction-to-agent-skills,"A structured Anthropic course covering how skills work, how to create them, and how to diagnose common problems.",Anthropic,Course,start-here,4.7,false,published,understand|create|troubleshoot,fundamentals|prompt-engineering,"course|Claude",2026-07-28,false,false
claude-cowork-record-skill,Record a workflow as a skill in Claude Cowork,https://x.com/claudeai/status/2079595988998554047?s=46,"Anthropic's demonstration of capturing a browser or computer workflow in Claude Cowork and packaging the process into a reusable skill with its steps, templates, and source locations.",Anthropic,Video,practical,4.7,true,published,create|apply,code-automation|management-optimization,"Claude-Cowork|recording",2026-07-28,false,false
replit-agent-skills,Agent Skills in Replit,https://docs.replit.com/replitai/skills,"Replit's guide to installing, creating, and using reusable skills that preserve project preferences, patterns, and expertise across tasks.",Replit,Documentation,practical,4.5,false,published,understand|create|apply,fundamentals|code-automation,"Replit|implementation",2026-07-28,true,false
anthropic-how-we-use-skills,Lessons from building Claude Code: How we use skills,https://claude.com/blog/lessons-from-building-claude-code-how-we-use-skills,"Examples of product knowledge, verification, and data skills used by Anthropic, with an emphasis on observable checks and real workflows.",Anthropic,Article,practical,4.8,false,published,apply|create|evaluate,code-automation|evaluation-verification,"case-study|verification",2026-07-28,false,false
anthropic-verification-loops,Building verification loops with skills,https://claude.com/blog/building-verification-loops-in-claude-code-with-skills,"Shows how to encode manual checks as repeatable agent loops that observe results, detect failures, and try fixes before reporting completion.",Anthropic,Article,advanced,4.8,false,published,apply|create|evaluate,evaluation-verification|code-automation,"verification|Claude-Code",2026-07-28,false,false
anthropic-self-service-analytics,How Anthropic enables self-service data analytics with Claude,https://claude.com/blog/how-anthropic-enables-self-service-data-analytics-with-claude,"A measured case study on governed data foundations, knowledge and runbook skills, evaluation, ambiguity reduction, and adversarial review.",Anthropic,Article,advanced,4.8,false,published,apply|evaluate,self-service-analytics|evaluation-verification,"analytics|case-study",2026-07-28,false,false
skillopt-project,SkillOpt: self-evolving agent skills,https://microsoft.github.io/SkillOpt/,"Microsoft Research's method for optimizing a natural-language skill through scored rollouts, bounded edits, and held-out validation without changing model weights.",Microsoft Research,Tool,advanced,4.7,false,published,evaluate|create|manage,evaluation-verification|management-optimization,"optimization|research",2026-07-28,false,false
skillopt-github,SkillOpt source repository,https://github.com/microsoft/SkillOpt,"Code, documentation, benchmark configurations, and reproduction guidance for Microsoft's SkillOpt research engine.",Microsoft Research,GitHub,advanced,4.5,false,published,evaluate|execute,evaluation-verification|code-automation,"open-source|benchmarks",2026-07-28,false,false
langchain-eval-engineering,Towards automating eval engineering,https://www.langchain.com/blog/towards-automating-eval-engineering,"Introduces an eval-engineering skill that inspects an agent and its traces, proposes measurable abilities, and builds reproducible Harbor evaluation tasks.",LangChain,Article,advanced,4.5,false,published,evaluate|create,evaluation-verification,"evals|traces",2026-07-28,false,false
hamel-evals-skills,Evals Skills for Coding Agents,https://hamel.dev/blog/posts/evals-skills/,"Introduces evals-skills, a set of reusable skills for product AI evaluations: auditing an evaluation pipeline, analyzing failures, generating test data, building judges, validating evaluators, evaluating RAG, and supporting human review.",Hamel Husain,Article,advanced,4.6,false,published,evaluate|create|apply,evaluation-verification|code-automation,"evals|coding-agents|product-evaluation",2026-07-29,false,false
obra-superpowers,Superpowers agentic skills framework,https://github.com/obra/superpowers,"An opinionated development methodology distributed as composable skills for brainstorming, planning, TDD, debugging, reviews, and subagent workflows.",Obra,GitHub,advanced,4.4,false,published,apply|evaluate|manage,code-automation|evaluation-verification,"development|framework",2026-07-28,false,false
openspace,OpenSpace skill management layer,https://github.com/HKUDS/OpenSpace,"A community platform for creating, sharing, executing, and evolving agent skills, with local and cloud-oriented workflows.",HKUDS,GitHub,advanced,4.2,false,published,manage|execute,management-optimization|code-automation,"skill-library|self-evolving",2026-07-28,false,false
vercel-skills-cli,skills: open agent skills CLI,https://github.com/vercel-labs/skills,"Open-source CLI for discovering, installing, using, listing, updating, and removing agent skills across Codex, Claude Code, Cursor, OpenCode, and many other coding agents.",Vercel Labs,GitHub,practical,4.6,false,published,manage|execute|apply,management-optimization|code-automation,"CLI|open-source|installation",2026-07-29,false,false
skills-rest,Skills.rest explorer,https://skills.rest/explore,"A searchable third-party directory that organizes agent skills by professional domain, origin, and setup complexity.",Skills.rest,Directory,practical,5.0,false,published,manage|apply,management-optimization,"directory|discovery",2026-07-28,false,false
elite-ai-tools,EliteAI.tools agent skills directory,https://eliteai.tools/agent-skills,"A third-party index of skills found in public GitHub repositories, with keyword search and links back to source repositories.",EliteAI.tools,Directory,practical,3.5,false,published,manage|apply,management-optimization,"directory|GitHub",2026-07-28,false,false
agent-framework-python-skills,Agent Skills for Python Is Now Released,https://devblogs.microsoft.com/agent-framework/agent-skills-for-python-is-now-released/,"Announces the stable, production-ready Python Agent Skills API in Microsoft Agent Framework, including file-, class-, and code-defined skills, progressive disclosure, approvals, script controls, filtering, caching, and extensible sources.",Microsoft,Article,practical,4.8,false,published,understand|create|execute|apply,fundamentals|code-automation|management-optimization,"Microsoft-Agent-Framework|Python|stable-release",2026-07-29,false,false
nvidia-scan-agent-skills,Scan agent skills before installation,https://docs.nvidia.com/skills/scanning-agent-skills,"NVIDIA's practical guide to SkillSpector, covering static and optional semantic checks for prompt injection, data exfiltration, permission mismatches, vulnerable dependencies, MCP risks, and release-gate triage.",NVIDIA,Documentation,practical,5.0,true,published,assess-risk|evaluate,security-trust|evaluation-verification,"Security|SkillSpector",2026-07-28,false,false
skillspector-enterprise-training,NVIDIA SkillSpector enterprise training guide,/guides/skillspector-enterprise-training,"A presentation-ready enterprise module for running a preliminary static scan, adding approved LLM semantic assessment, interpreting completeness and risk outputs, and applying a human-governed release decision.",Resource Library,Guide,practical,5.0,false,published,assess-risk|evaluate|apply,security-trust|evaluation-verification,"SkillSpector|enterprise-training|semantic-analysis",2026-08-11,false,false
skillspector-skill-demo,What an agent skill looks like: SkillSpector Review,/guides/skillspector-skill-demo,"An annotated walkthrough of a real Codex skill: its discovery metadata, implicit trigger, ordered workflow, update policy, output interpretation, and explicit security boundaries.",Resource Library,Guide,start-here,5.0,true,published,understand|create|assess-risk,fundamentals|prompt-engineering|security-trust,"SkillSpector|skill-anatomy|Codex",2026-08-11,false,false
cisco-skill-scanner,Cisco Skill Scanner,https://github.com/cisco-ai-defense/skill-scanner,"An open-source, defense-in-depth scanner that combines pattern matching, behavioral dataflow analysis, and optional LLM review to flag prompt injection, exfiltration, and malicious code patterns; its maintainers emphasize that clean results still require human judgment.",Cisco AI Defense,Tool,advanced,5.0,false,published,assess-risk|evaluate|execute,security-trust|evaluation-verification|code-automation,"Security|open-source",2026-07-28,false,false
sage-agent-security,Sage agent security layer,https://ai.gendigital.com/sage,"A lightweight, open-source security layer that intercepts an agent's tool calls, extracts commands, URLs, file paths, packages, and content patterns, then returns allow, ask, or deny verdicts using local heuristics and optional reputation and supply-chain checks.",Gen Digital,Tool,practical,5.0,false,published,assess-risk|execute,security-trust|code-automation,"Sage|tool-call-security|open-source",2026-07-29,false,false
clawhub,ClawHub skill and plugin registry,https://clawhub.ai/,"OpenClaw's public registry for searching, inspecting, installing, versioning, updating, and verifying skills and plugins. Review each complete bundle, provenance chain, security signal, permission, and update path before installation.",ClawHub,Directory,practical,4.6,false,published,manage|apply|assess-risk,management-optimization|security-trust,"directory|OpenClaw|registry|versioning|verification",2026-07-29,false,false
so-you-found-a-skill-checklist,So you found a skill: pre-install confidence checklist,/guides/so-you-found-a-skill-checklist,"A source-backed workflow for reviewing a skill's provenance, complete contents, dependencies, permissions, security signals, reliability, automatic-update behavior, and rollback plan before installation.",Resource Library,Guide,practical,5.0,true,published,assess-risk|manage|evaluate,security-trust|management-optimization|evaluation-verification,"Security|pre-install|supply-chain|updates|checklist",2026-07-29,false,false
when-not-to-use-a-skill,When not to use a skill,/guides/when-not-to-use-a-skill,"A decision guide for choosing primary provider documentation or a governed internal skill over third-party automation when data movement, cloud API access, or added CI complexity expands the trust boundary.",Resource Library,Guide,practical,4.8,false,published,assess-risk|understand,fundamentals,"Security|decision-guide",2026-07-28,false,false
academic-research-skills,Academic research skills repository,https://github.com/imbad0202/academic-research-skills,"A community-contributed skill collection. Review its provenance, instructions, scripts, dependencies, permissions, and data handling before use.",Community,GitHub,advanced,2.8,false,published,assess-risk|apply,,"third-party|review-first",2026-07-28,true,false
superpowers-evaluation-dialogue,How good is Superpowers? Evaluation discussion,https://chatgpt.com/share/6a4eb190-86ac-83e8-a559-42ded97f6828,"A shared conversation that frames questions about evidence and evaluation for the Superpowers skill framework. Treat it as discussion rather than primary evidence.",Community,Conversation,practical,3.0,false,published,evaluate,evaluation-verification,"discussion|Superpowers",2026-07-28,false,false
theo-skills-code-video,Theo on skills executing code,https://youtube.com/shorts/SLkZXrOQFSQ?is=DmNSC13sgsJa_k_S,"Video note awaiting a reviewed title, transcript, and source summary before publication.",YouTube,Video,practical,,false,draft,understand|execute,code-automation,"video|needs-review",,true,false
skills-video-long,Agent skills video resource,https://youtu.be/FDxW2bfBOWE?is=qoyiEOeuqqSZLUk4,"Video awaiting a reviewed title, transcript, and source summary before publication.",YouTube,Video,practical,,false,draft,understand,fundamentals,"video|needs-review",,true,false
skills-video-short,Agent skills short video,https://youtube.com/shorts/jjze-8Wia38?is=WM3F5fhuKgArF8QC,"Video awaiting a reviewed title, transcript, and source summary before publication.",YouTube,Video,practical,,false,draft,understand,fundamentals,"video|needs-review",,true,false
gemini-skills-share,Shared Gemini resource,https://share.gemini.google/OVDYGH4SOMNr,"Shared conversation awaiting review and a primary-source summary before publication.",Community,Conversation,practical,,false,draft,understand,fundamentals,"conversation|needs-review",,true,false
